AmountSaved,Amount Saved
ScotApp_612,Add Weight
ScotApp_512,Visual Validations
ScotApp_312,bin is jammed
ScotApp_212,212unused
ScotApp_112,Confirm Quantity
ScotApp_1081,Show\nAll Lanes
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,End Card Tender.  Change Due.
ScotApp_478,Drop Off Coupons.
ScotApp_378,Receipt Printer
ScotApp_278,Security Log
ScotApp_1127,ReConnect
ScotApp_1802,Accept Cards Only
ScotApp_978,Threshold = %d
ScotApp_878,Enter Price.
ScotApp_1533,Please refer to the Device Manual to fix the error.
ScotApp_1787,Enter the number of plastic bags you used or 0 if no bags were used.
ScotApp_1799,Cards Only Mode
ScotApp_1309,* Insert cassette until it is latched.\n* Check that note acceptor motor turns on briefly.
ScotApp_1323,Weight remains
ScotApp_1079,Put scanned item on belt again.
ScotApp_1382,(Std)
ScotApp_1532,Please refer to the Device Manual to fix the error.
ScotApp_1786,Plastic Bag Charge
ScotApp_1094,Print Signatures
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,Cash Only Mode
ScotApp_1322,Coupon Sensor error\nCommunication failure.
ScotApp_1078,Select setting for weight expectation. (Customer should put item on belt.)
ScotApp_1334,  Item not on belt
ScotApp_1785,Invalid login. Please login again using the keypad or your fingerprint.
ScotApp_1046,Please take your %s to cashier at pay station.
ScotApp_1696,Condition Corrected
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,PinPad / EFT Device Error
ScotApp_1065,1065unused
ScotApp_1321,End Voucher Payment.  Balance Due.
ScotApp_764,764unused
ScotApp_1530,Please refer to the Device Manual to fix the error.
ScotApp_1784,MULTIPACK ITEM
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  Qty %s @ %s/%s\t%s
ScotApp_753,Yesterday Hourly
ScotApp_653,"Enter coupon's value in cents and touch ""Enter""."
ScotApp_453,Coin acceptor status full
ScotApp_353,Go Back
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,Begin Voucher Payment.
ScotApp_953,"Shut down and restart terminal:\n\n* Turn Supervisor keylock to 'S' -OR- press Supervisor button.\n* Select ""Run ADD on Next Reboot"".  Select “Yes” to confirm.\n* Select ""Shut Down Entire System"".\n* When screen blanks, turn off terminal at UPS or power strip.\n* Turn on terminal. Check event viewer. If error recurs, call for service."
ScotApp_853,Four Items
ScotApp_1845,Receipt
ScotApp_1537,Please refer to the Device Manual to fix the error.
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,Restricted Item
ScotApp_432,EBT
ScotApp_332,Leaving Assist Mode.
ScotApp_232,* Remove note acceptor and cassette.\n* Check for jam in cassette.\n* Open access doors on top of acceptor and check for note jam.\n* Close access doors firmly.\n* Replace acceptor and cassette.
ScotApp_132,132unused
ScotApp_1110,  Qty %s @ %s/each\t%s
ScotApp_1242,DEBIT
ScotApp_1285,Popular
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,"Touch desired report, then touch ""Run Report""."
ScotApp_711,711unused
ScotApp_611,Select desired function.
ScotApp_511,"Compare the customer's signature with the one on the card."
ScotApp_411,Take Loyalty Card
ScotApp_311,bin is empty
ScotApp_111,Reset Scale
ScotApp_1789,COUPON
ScotApp_1536,Please refer to the Device Manual to fix the error.
ScotApp_911,Clear Security
ScotApp_811,Scan your gift card. Please check your basket for additional items.
ScotApp_1628,CPU Error
ScotApp_1523,Please refer to the Device Manual to fix the error.
ScotApp_1349,%s\n %s\n%s %s expected\n%s %s observed
ScotApp_1892,Security Analysis
ScotApp_1279,CHECK
ScotApp_1535,Please refer to the Device Manual to fix the error.
ScotApp_1057,1057unused
ScotApp_1441,Coin Management
ScotApp_1313,* Check printer for paper jams.\n* Reload paper.\n* Properly shut down and reboot the terminal.
ScotApp_1681,Note Recycler Error
ScotApp_1069,1069unused
ScotApp_1325,Place Item On Scale.
ScotApp_1278,USERDEFINED20
ScotApp_1103,Previous
ScotApp_1534,Please refer to the Device Manual to fix the error.
ScotApp_1056,1056unused
ScotApp_1312,* Remove note cassette.\n* Open and remove notes.\n* Close and re-insert into acceptor.\n* Check that note acceptor motor turns on and LED light is green.
ScotApp_1265,USERDEFINED7
ScotApp_1850,Devices in error
ScotApp_1213,UNKNOWN
ScotApp_1521,Please refer to the Device Manual to fix the error.
ScotApp_139,Take Receipt
ScotApp_1043,Use Assist Mode to accept %s from customer.
ScotApp_1401,Assistance in progress.\n\nPlease wait...
UnknownItemMessage,Help is on the way.\n\nSet item aside and continue.
TimeRestrictedItemMessage,You are unable to purchase this item at this time. \n\nSet item aside and continue.
ItemQuantityExceededMessage,You have exceeded the quantity allowed for this item. \n\nSet item aside and continue.
WeightMismatch,Checking item weight.\n\nPlease wait...
ItemQuantityExceeded,Quantity Limit Exceeded
WaitForRemoteAssistanceTitle,Remote Attendant
ScotApp_489,Thank you for using NCR SelfServ Checkout.
ScotApp_273,Do not scan at this time.\nPut item aside.
ScotApp_431,Invalid Loyalty Card. Please verify.
ScotApp_410,Assistance needed for:
ScotApp_1739,"Please wait for an attendant.\nThe system could not verify your bags.\nIf you have accidentally placed something other than a bag in the bagging area, please remove it now."
ScotApp_73,Return to Shopping Mode
ScotApp_772,A request was made to suspend the current transaction.\nPlease confirm or cancel this request.
ScotApp_530,Card mis-read.\nUse a different card.\n   -or-\nPay by cash.\n   -or-\nCall for Help.
ScotApp_524,Wrong PIN entered.\nRe-enter PIN on payment device.
ScotApp_397,Use Assist Mode to sell the valid items.\nCollect other items not to be sold.
ScotApp_171,"""%s""\n\nIs %d correct?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,Transaction is suspended. Set all items aside.
ScotApp_495,You have exceeded the quantity allowed for this item.\n\nPlease put item aside and continue.
ScotApp_529,"Remove card, then...\nInsert different card.\n   -or-\nPay by cash.\n   -or-\nCall for Help."
ScotApp_275,Do not insert charge cards at this time.\nTake your card.
ScotApp_1891,System Verification in progress. \nPlease wait...
ScotApp_1750,Please wait while we process your fingerprint.
ScotApp_169,Would you like to continue with your purchase?
ScotApp_415,Take your Loyalty Card.\nCard was inserted before.
ScotApp_1793,This machine will only accept credit and debit cards at this time.\nDo you wish to continue?
ScotApp_477,Drop off your coupons.\nAfter your receipt prints:\n-- Collect your items.\n-- Take receipt and coupons to the paystation.
ScotApp_177,Entire purchase cancelled. Put all items aside.
ScotApp_656,Please put <%s> aside.\nStore assistant will help you.
ScotApp_1709,Do not insert notes or coins at this time.\nPlease take your returned cash.\nNotes are dispensed below the scanner.
ScotApp_435,"Select the benefit type.\nIf you would like to use food stamps, they must be used before other benefits."
ScotApp_808,Take items with security tags to attendant for removal.
ScotApp_294,"For store assistance, touch the ""Call for Help"" button."
ScotApp_1287,Please wait ...\nChecking item weight.
ScotApp_525,"Wrong PIN Entered.\nRemove Card, then...\nInsert different card\n   -or-\nPay by cash"
ScotApp_480,"Please touch ""OK"" then take your transaction slip and items to the cashier."
ScotApp_1751,Maximum weight allowance exceeded.\nRemove items from bag scale.
ScotApp_175,"Do you want to remove\n""%s""\nfrom receipt?"
ScotApp_1746,Fingerprint server is not available.\nPlease try again.
ScotApp_1839,Please wait for cashier.\nDo not scan at this time. Set item aside.
ScotApp_501,"Please sign the receipt, and wait for store approval."
ScotApp_414,Take your Loyalty Card.\nDiscounts cannot be applied to your current purchase. They will be mailed to you.
ScotApp_563,An error occured when initializing Hard Totals.\nThe application will exit now.
ScotApp_263,"Cannot void item until its coupon is voided.\nVoid item's coupon first."
ScotApp_800,"Please check your basket.\n\nScan additional items now or\nTouch ""OK"" to pay."
ScotApp_134,Authorisation in progress.\nPlease wait.
ScotApp_620,Key-In Tolerance
ScotApp_161,"%s\nUse keypad to enter quantity and touch ""OK""."
ScotApp_440,Your cash benefit balance is less than what is needed.\nDo you want to apply your remaining cash benefit of %s to this purchase?
ScotApp_184,%s will be debited from your account.
ScotApp_274,Do not insert cash at this time.\nTake your cash.
ScotApp_1744,Device failed to recognise your fingerprint.\nPlease try again.
ScotApp_160,Item has been recalled.\nHelp is on the way.\nPut item aside and continue with your purchase.
ScotApp_1795,"Or restrict to ""Cards Only""."
ScotApp_159,"Item's price is unknown.\nHelp is on the way.\nPut item aside and continue with your purchase."
ScotApp_458,Select the benefit type.\nFood stamps cannot be used for this purchase.
ScotApp_1329,Please wait ...\nChecking item weight.\nDouble weight bagged.
ScotApp_407,Error reading card.\n*  Try different card\n   -or-\n*  Call for help
ScotApp_706,"Your food stamp balance is less than the total for this purchase.\nTouch ""OK"" to use a different payment method."
ScotApp_606,Delete Weight Entries
ScotApp_906,Please take your items.
ScotApp_705,"Your cash benefit balance is less than the total for this purchase.\nTouch ""OK"" to use a different payment method."
ScotApp_605,Add Weight Entry
ScotApp_405,Error reading card.\n*  Try different card\n   -or-\n*  Pay by cash\n   -or-\n*  Call for help
ScotApp_491,Please take your card.
ScotApp_818,Please wait for cashier.\nAssistance needed for:
ScotApp_1796,"Or restrict to ""Cash Only""."
ScotApp_438,Your food stamp balance is less than what is needed.\nDo you want to apply your remaining food stamp benefit of %s to this purchase?
ScotApp_1596,"Would you like to save %s as your preferred language on your %s?\nSelect ""Yes"" or ""No""."
ScotApp_766,%s will be charged to your account.
ScotApp_166,Help is on the way.\nPlease continue with your purchase.
ScotApp_413,Take your Loyalty Card.\nDiscounted prices will be applied.
ScotApp_1797,"Corrective action did not fix the error.\nPlease try again or restrict to ""Cash Only""."
ScotApp_178,Wait for store approval.\nApproval needed for:
ScotApp_790,Your card was declined.\nPlease select a different method of payment.
ScotApp_1794,This machine will only accept cash at this time.\nNo credit or debit can be processed.\nDo you wish to continue?
ScotApp_412,This item will cause your purchase to exceed %s.\nPlease pay now and purchase other items separately.
ScotApp_546,You are not old enough to purchase this item.\nPlease put item aside and continue with your purchase.
ScotApp_553,Coupons are accepted at the end of your purchase.\nPlease put them aside and continue.
ScotApp_211,Processing...\nPlease wait.
ScotApp_1400,Remote Attendant
ScotApp_1754,Letters do not match an item.\nPlease try again.
ScotApp_1859,"Purchase a full crate of %s? Select ""Yes"" or ""No""."
ScotApp_533,You are unable to purchase this item at this time.\nPlease put it aside and continue with your purchase.
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,Select Container For Your: %s
ScotApp_703,"Use PIN Pad. Press ""Cancel"" on PIN Pad to cancel payment."
ScotApp_125,"Key in customer's birth date %s and touch ""Approve""."
ScotApp_1853,"Key in customer's birth date %s and touch ""Enter"". "
ScotApp_654,Date should be in %s format.Value keyed in: %s
ScotApp_560,This system does not accept coupons.
ScotApp_1788,Is %d correct? \n\nA bag charge of %s will be added to your total.
ScotApp_1358,Gift card amount of %s has been applied to your purchase. \n\nYour gift card balance is %s.
ScotApp_167,Coupon does not match with any purchased item.\n\nThis coupon cannot be accepted.
ScotApp_164,System does not recognise that item code.\n\nMake sure the correct number was entered.
ScotApp_547,Incorrect operator number and password.\n\nPlease try again.
ScotApp_442,%s of your purchase can be paid with food stamps.\n\n%s
ScotApp_443,%s will be charged to your account.\n\nIs this OK?
ScotApp_700,Item cannot be sold in this lane.\nHelp is on the way.\n\nPut item aside and continue with your purchase.
ScotApp_165,System does not recognise this item.\nHelp is on the way.\n\nPut item aside and continue with your purchase.
ScotApp_182,The amount you entered for this coupon was too high.\n\nThis system cannot accept this coupon.
ScotApp_733,Card declined.\nUse a different card or pay with cash.
ScotApp_812,Thank you for using NCR SelfServ Checkout.\nPlease take your gift card to the cashier.
ScotApp_1826,Would you like to save your preferences on your Loyalty Card?
ScotApp_1852,Please remove the cancelled item from the bagging area.
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,Please wait...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
XM_MenuSetupLoaderV6HW,Setup Loader
XM_SetupLoaderV6HW,Setup Loader
XM_ProcessingCashTextV6HW,•   Insert coins in Coin Acceptor.\n•   Insert notes in Note Acceptor.\n
XM_CoinHoppersV6HW,Coin Hoppers
XM_CoinBoxV6HW,Coin Box - %d - %s
XM_ConfirmTransferNotesToBaseLevelV6HW,Transfer Notes to Note Box\n\nAmount to transfer: %s\nCount to transfer: %d\n\nThe transferring process may take several minutes.
XM_ConfirmTransferAllNotesV6HW,Transfer All Notes to Note Box\n\nAmount to transfer: %s\nCount to transfer: %d\n\nThe transferring process may take several minutes.
XM_ResetCoinsAllCoinsV6HW,Dispense All Coins
XM_ResetCoinHopperCountsV6HW,Reset Coin Hopper Counts
XM_ResetNoteBoxCountsV6HW,Reset Note Box Count
XM_MenuNoteBoxTransferV6HW,Note Box Transfers
XM_AddCashLeadthruV6HW,"•   Insert coins in Coin Acceptor.\n•   Insert notes in Note Acceptor.\n•   Touch ""Enable Coin Refill Chute"" to add coins in refill chute.\n•   Touch ""Setup Loader"" to add notes in loader."
XM_FinishedAddingCashV6HW,"When finished adding cash, touch ""OK""."
XM_OKV6HW,OK
XM_SetupLoaderLeadthruV6HW,"•   Enter ""%s"" default denomination amount/count for the \n     loader and touch ""OK"".\n•   When finished, ""Apply Changes""."
XM_SetupLoaderNotEmptyV6HW,"\nWhen swapping loaders, because the current loader\ncount is greater than zero, manually remove the notes from the current loader and add the notes to the new loader."
XM_NoteLoaderV6HW,Note Loader
XM_EnableCoinInputBowlV6HW,Enable Coin Input Bowl
XM_EnableCoinRefillChuteV6HW,Enable Coin Refill Chute
XM_EnableCoinAcceptorV6HW,Enable Coin Acceptor
XM_TopOffCashPrintStatusV6HW,Top-Off Cash or Print Status
XM_TransferOperationPreemptiveV6HW,Note transfer in progress... please wait.\n\nDO NOT REMOVE NOTE BOX or   \nother devices until operation is complete.
XM_TransferOperationInstructionV6HW,Transfer Complete.\nRemove all notes from Note Box and\n Reset Note Box.
XM_PendingDispenseV6HW,Pending dispense %d - %s
XM_PendingTransferV6HW,Pending transfer %d - %s
XM_PendingResetV6HW,Pending reset %d - %s
XM_ConfirmResetNoteBoxV6HW,Reset Note Box Counts/Value\n\nAmount to Reset: %s\nCount to Reset: %d\n\nAmount after reset note box: $0\nCount after reset note box: 0
XM_PendingCashRemoveV6HW,"Open safe door, remove Note Box and all notes.\nReplace empty Note Box.\n\nWhen complete, touch ""OK""."
XM_LeadThruResetNoteBoxFunctionV6HW,"Reset Functions\n•   Reset Note Box Count to zero.\n•   When finished, ""Apply Changes""."
XM_AllV6HW,All
XM_LeadThruTransferNotesToNoteBoxFunctionV6HW,"Note Box Transfers\n•   To transfer notes, touch ""Apply Changes"".\n•   To cancel, touch ""Cancel Changes""."
XM_ReplenishNotesFromLoaderToRecyclersPreemptiveV6HW,Loading in progress... please wait.
XM_SetupLoaderAlertConfirmationV6HW,"Setup Loader\n\nEnsure loader has correct values and is inserted, then\n touch ""OK"" to load notes."
XM_SetupLoaderAlertConfirmation1V6HW,"Setup Loader\n\nAdd notes to loader, ensure loader is inserted, then touch ""OK"" to load notes."
XM_SetupLoaderConfirmationV6HW,Setup Loader\n\n%s notes Status in loader:\n\nOriginal / Starting Amount: %s\nOriginal / Starting Count: %d\nAmount to Add to Loader: %s\nCount to Add to Loader: %d\n\nPlace notes that are not designated as float or dispense on the bottom of the loader.  Notes on the bottom of loader will be automatically counted and loaded until the loader denomination is reached.\n\nThe loading process may take several minutes.
XM_SetupLoaderConfirmation1V6HW,Setup Loader\n\nAll loader notes will automatically be\nloaded and counted.\n\nThe loading process may take several minutes.
XM_PendingNotesAddedV6HW,Default notes added %d - %s
XM_ProcessingCashV6HW,Processing Cash
XM_ProcessingCashLeadThruV6HW,•   Insert coins in Coin Acceptor.\n•   Insert notes in Note Acceptor.
XM_SetupLoaderLeadThru1V6HW,"•   To add notes to loader, touch ""Apply Changes"".\n•   To cancel, touch ""Cancel Changes""."
XM_LeadThruDispenseFunctionV6HW,Dispense Functions\n•   Enter amount/count for %s notes using keypad.
XM_LeadThruDispenseFunction1V6HW,"Dispense Functions\n•   To dispense coins, touch ""Apply Changes"".\n•   To cancel, touch ""Cancel Changes""."
XM_ConfirmCoinDispenseAllV6HW,Dispense All Coins\n\nAmount to Dispense: %s\nCount to Dispense: %d
XM_DispenseOperationPreemptiveV6HW,"Dispensing coins in progress.\n\nRemove coins from coin bowl when full and touch ""OK""."
XM_ConfirmCoinDispenseToBaseLevelV6HW,Dispense Coins to Base Level\n\nAmount to Dispense: %s\nCount to Dispense: %d
XM_LeadThruResetCoinHopperFunctionV6HW,"Reset Functions\n•   Reset Coin Hopper Counts to zero.\n•   When finished, ""Apply Changes""."
XM_ResetCoinHopperLeadThruV6HW,"Remove coins from coin hoppers. Replace\nempty coin hoppers.\n\nWhen complete, touch ""OK""."
XM_LoaderCountEnteredExceededCapacityV6HW,The loader count entered exceeds capacity. Maximum loader count allowed is %d.
XM_CoinHopperPendingResetV6HW,Pending reset %d - %s
XM_ConfirmResetCoinHopperV6HW,Reset Coin Hopper Counts / Value\n
XM_ConfirmResetCoinHopper1V6HW,\n%s\nReset Amount: %s Count: %d\n
XM_ConfirmResetCoinHopper2V6HW,\nAfter Reset:\nCoins in Hopper: %s Count: %d\nCoins in Coin Box: %s Count: %d
XM_SignSigTouchDisplayV6HW,Please sign signature on the touch display.
XM_LeadThruCashManagementErrorV6HW,Cash Management Error
XM_LoanPickupUpdateFailureV6HW,Cash management update failed
XM_LoanPickupUpdateNoResponseV6HW,No Response from POS when updating Cash management status
XM_LoanPickupUpdateFailureInstructionV6HW,"\n•   Touch 'Retry' to update.\n•   If error recurs, contact store management.\n•   This error will not clear until a successful update is performed."
XM_LoanPickupUpdateNoResponseInstructionV6HW,•   Report this error immediately to store management.\n•   The cash management status may not have been updated.\n•   Access the Utility Functions screen.
XM_LoanPickupUpdateNoResponseInstruction1V6HW,"•   Touch ""Generate Diagnostic Log Files"" then touch ""Shutdown Entire System"".\n•   Power the system back on.\n•   If error recurs, generate another diagnostic log file and call for service.\n"
XM_CashManagementErrorRetryButtonV6HW,Retry
XM_CannotCompleteTransferV6HW,Cannot complete transfer.\n The note box does not have sufficient space. Please empty the note box before performing this operation.
XM_CashStatusLeadthruV6HW,"•   Print cash status.\n•   Insert coins in Coin Acceptor.\n•   Insert notes in Note Acceptor.\n•   Touch ""Exit"" when finished."
XM_NonDispensableCoinsV6HW,Non-dispensable Coins
XM_DispensableCoinsV6HW,Dispensable Coins
XM_ConfirmNoteDispenseV6HW,Dispense Notes\n\nAmount to Dispense: %s\nCount to Dispense: %d
XM_DispenseNoteFullPreemptiveV6HW,Please Take Notes\n\nNotes are dispensed in bunches of %d.\nDispensing will pause until all notes are taken.
XM_NoteBoxV6HW,Note Box
XM_NoteRecyclerV6HW,Note Recyclers
XM_DispenseCoinsToBaseLevelV6HW,Dispense Coins\nto Base Level
XM_TransferNotesToBaseLevelV6HW,Transfer Notes to Base Level
XM_TransferAllNotesV6HW,Transfer All Notes
XM_LeadThruNoteBoxTransferV6HW,"Note Box Transfers\n•   Select desired transfer function.\n•   When finished, ""Apply Changes""."
XM_LeadThruResetFunctionV6HW,"Reset Functions\n•   Select desired reset function.\n•   When finished, ""Apply Changes""."
XM_LeadThruDispenseFunction2V6HW,"Dispense Functions\n•   Touch note denomination and enter amount/count or select\n     function.\n•   When finished, ""Apply Changes""."
XM_DispenseThresholdV6HW,Number entered exceeded count available to dispense.\nMaximum count was entered: %d
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
